YEAR,MONTH,RAINFALL
1981,1,53.51971054
1981,2,21.6634984
1981,3,19.39989436
1981,4,90.99336457
1981,5,156.2456015
1981,6,0.392089054
1981,7,29.82317006
1981,8,33.26117656
1981,9,115.890601
1981,10,180.9587033
1981,11,183.755291
1981,12,99.98359835
1982,1,8.009556293
1982,2,0
1982,3,21.66964644
1982,4,123.5955885
1982,5,71.3234081
1982,6,0.694690436
1982,7,5.104379624
1982,8,18.01632595
1982,9,81.88605142
1982,10,256.3952582
1982,11,318.5696183
1982,12,224.6640844
1983,1,13.11942339
1983,2,0.276648253
1983,3,7.911342204
1983,4,70.06279445
1983,5,51.20230125
1983,6,0
1983,7,15.72347876
1983,8,40.6693451
1983,9,40.24614
1983,10,86.36809909
1983,11,191.1989074
1983,12,370.9202954
1984,1,179.69094
1984,2,190.4531889
1984,3,123.8335876
1984,4,241.0232983
1984,5,33.26722145
1984,6,14.81786835
1984,7,21.64979842
1984,8,11.3673175
1984,9,120.1964813
1984,10,112.4068682
1984,11,336.8876473
1984,12,125.2171558
1985,1,61.12120581
1985,2,41.89019489
1985,3,74.96399665
1985,4,89.5049306
1985,5,53.38915724
1985,6,6.474934766
1985,7,25.69317442
1985,8,29.80940044
1985,9,81.77406287
1985,10,150.1462915
1985,11,215.5151138
1985,12,147.560312
1986,1,61.12120581
1986,2,41.89019489
1986,3,74.96399665
1986,4,89.5049306
1986,5,53.38915724
1986,6,6.474934766
1986,7,25.69317442
1986,8,29.80940044
1986,9,81.77406287
1986,10,150.1462915
1986,11,215.5151138
1986,12,147.560312
1987,1,39.03697491
1987,2,2.334699839
1987,3,17.32878399
1987,4,125.9238189
1987,5,52.2280862
1987,6,1.032829472
1987,7,8.744653821
1987,8,12.60432401
1987,9,84.72433317
1987,10,324.7343329
1987,11,170.5447785
1987,12,152.029125
1988,1,13.1752941
1988,2,16.76111794
1988,3,34.44540751
1988,4,191.4593696
1988,5,58.28813529
1988,6,0.074780174
1988,7,27.31604034
1988,8,82.98790097
1988,9,145.5125248
1988,10,57.77050585
1988,11,222.3046813
1988,12,63.06609595
1989,1,81.4004634
1989,2,12.3496536
1989,3,32.49680758
1989,4,148.6836571
1989,5,50.42026883
1989,6,3.723641962
1989,7,25.3475697
1989,8,35.13655302
1989,9,57.88193089
1989,10,256.0759728
1989,11,169.4281744
1989,12,112.4958568
1990,1,86.44938365
1990,2,24.2893936
1990,3,58.04066193
1990,4,69.00696599
1990,5,114.7278594
1990,6,2.138231516
1990,7,16.96809924
